Glass Name,Elastic Modulus,Poisson's Ratio,Shear Modulus,Thermal Expansion Coefficient,Density (kg/m³),Thermal Conductivity,Other Properties
SCHOTT N-BASF2,8.4E+010,0.247,3.3681E+010,0.000007120000000,3151,0.94,Specific Heat: 660
SCHOTT N-BASF64,1.05E+011,0.264,4.1535E+010,0.000007300000000,3200,,
SCHOTT N-BK7,8.2E+010,0.206,3.3997E+010,0.000007100000000,2510,1.114,Specific Heat: 858
SCHOTT N-BK7HT,8.2E+010,0.206,3.3997E+010,0.000007100000000,2510,1.114,Specific Heat: 858
SCHOTT N-BK7HTi,8.2E+010,0.206,3.3997E+010,0.000007100000000,2510,1.114,Specific Heat: 858
SCHOTT N-BK10,7.1E+010,0.203,2.951E+010,0.000005800000000,2390,1.32,Specific Heat: 810
SCHOTT N-F2,8.2E+010,0.228,3.3388E+010,0.000007840000000,2651,1.05,Specific Heat: 810
SCHOTT N-FK5,6.2E+010,0.232,2.5162E+010,0.000009200000000,2450,0.925,Specific Heat: 808
SCHOTT N-FK51A,7.302E+010,0.302,2.8041E+010,0.000012700000000,3675,0.76,Specific Heat: 690
SCHOTT N-FK58,7E+010,0.3,2.6923E+010,0.000013700000000,3646,0.76,Specific Heat: 710
SCHOTT N-K5,7.1E+010,0.224,2.9003E+010,0.000008200000000,2590,0.95,Specific Heat: 783
SCHOTT N-KF9,6.6E+010,0.225,2.6939E+010,0.000009610000000,2499,1.04,Specific Heat: 860
SCHOTT N-KZFS2,6.6E+010,0.266,2.6066E+010,0.000004440000000,2540,0.81,Specific Heat: 830
SCHOTT N-KZFS4,7.8E+010,0.241,3.1426E+010,0.000007300000000,3002,0.84,Specific Heat: 760
SCHOTT N-KZFS4HT,7.8E+010,0.241,3.1426E+010,0.000007300000000,3002,0.84,Specific Heat: 760
SCHOTT N-KZFS5,8.923E+010,0.243,3.5893E+010,0.000006380000000,3041,0.95,Specific Heat: 730
SCHOTT N-KZFS8,1.0272E+011,0.248,4.1154E+010,0.000007770000000,3204,1.05,Specific Heat: 760
SCHOTT N-KZFS11,7.9E+010,0.251,3.1575E+010,0.000006560000000,3196,0.81,Specific Heat: 690
SCHOTT N-LAF2,9.4E+010,0.288,3.6491E+010,0.000008060000000,4295,0.67,Specific Heat: 510
SCHOTT N-LAF3,9.5E+010,0.286,3.6936E+010,0.000007600000000,4140,,
SCHOTT N-LAF7,9.6E+010,0.271,3.7766E+010,0.000007300000000,3730,0.83,Specific Heat: 620
SCHOTT N-LAF21,1.24E+011,0.295,4.7876E+010,0.000005990000000,4281,0.83,Specific Heat: 550
SCHOTT N-LAF33,1.11E+011,0.234,3.1199E+010,7.8e-006,3170,,
SCHOTT N-LAF34,1.23E+011,0.234,3.1199E+010,7.8e-006,3170,,
SCHOTT N-LAF35,1.09E+011,0.234,3.1199E+010,7.8e-006,3170,,
SCHOTT N-LAF36,1.1E+011,0.234,3.1199E+010,7.8e-006,3170,,
SCHOTT N-LAK7,9E+010,0.234,3.1199E+010,7.8e-006,3170,,
SCHOTT N-LAK8,1.15E+011,0.234,3.1199E+010,7.8e-006,3170,,
SCHOTT N-LAK9,1.1E+011,0.234,3.1199E+010,7.8e-006,3170,,
SCHOTT N-LAK10,1.16E+011,0.234,3.1199E+010,7.8e-006,3170,,
SCHOTT N-LAK12,8.7E+010,0.234,3.1199E+010,7.8e-006,3170,,
SCHOTT N-LAK14,1.11E+011,0.234,3.1199E+010,7.8e-006,3170,,
SCHOTT N-LAK21,9.1E+010,0.234,3.1199E+010,7.8e-006,3170,,
SCHOTT N-LAK22,9E+010,0.234,3.1199E+010,7.8e-006,3170,,
SCHOTT N-LAK33A,1.21E+011,0.292,4.6827E+010,0.000005800000000,4216,0.81,Specific Heat: 550
SCHOTT N-LAK33B,1.218E+011,0.295,4.7027E+010,0.000005830000000,4221,0.89,Specific Heat: 560
SCHOTT N-LAK34,1.17E+011,0.29,4.5349E+010,0.000005810000000,4020,0.82,Specific Heat: 520
SCHOTT N-LASF9,1.0859E+011,0.288,4.2155E+010,0.000007370000000,4410,0.79,Specific Heat: 530
SCHOTT N-LASF9HT,1.0859E+011,0.288,4.2155E+010,0.000007370000000,4410,0.79,Specific Heat: 530
SCHOTT N-LASF31A,1.2551E+011,0.301,4.8236E+010,0.000006740000000,5510,0.79,Specific Heat: 440
SCHOTT N-LASF40,1.11E+011,0.304,4.2561E+010,0.000005840000000,4430,0.81,Specific Heat: 550
SCHOTT N-LASF41,1.24E+011,0.294,4.7913E+010,6.19e-006,4845,0.79,Specific Heat: 490
SCHOTT N-LASF43,1.14E+011,0.29,4.4186E+010,0.000005490000000,4260,0.81,Specific Heat: 550
SCHOTT N-LASF44,1.24E+011,0.293,4.7951E+010,0.000006210000000,4440,0.82,Specific Heat: 530
SCHOTT N-LASF45,1.16E+011,0.281,4.5277E+010,0.000007360000000,3626,1.02,Specific Heat: 660
SCHOTT N-LASF45HT,1.16E+011,0.281,4.5277E+010,0.000007360000000,3626,1.02,Specific Heat: 660
SCHOTT N-LASF46A,1.2437E+011,0.298,4.7908E+010,0.000006000000000,4449,0.91,Specific Heat: 540
SCHOTT N-LASF46B,1.2131E+011,0.303,4.655E+010,0.000005970000000,4510,0.88,Specific Heat: 550
SCHOTT N-PK51,7.4E+010,0.295,2.8571E+010,0.000012400000000,3855,0.65,Specific Heat: 620
SCHOTT N-PK52A,7.1E+010,0.298,2.735E+010,0.000013000000000,3700,0.73,Specific Heat: 670
SCHOTT N-PSK3,8.4E+010,0.226,3.4258E+010,0.000006200000000,2910,0.99,Specific Heat: 682
SCHOTT N-PSK53,7.8E+010,0.288,3.028E+010,0.000009400000000,3600,,
SCHOTT N-PSK53A,7.613E+010,0.288,2.9554E+010,0.000009560000000,3568,0.64,Specific Heat: 590
SCHOTT N-SF1,9E+010,0.25,3.6E+010,0.000009130000000,3025,1,Specific Heat: 750
SCHOTT N-SF2,8.6E+010,0.231,3.4931E+010,0.000006680000000,2718,1.14,Specific Heat: 790
SCHOTT N-SF4,9E+010,0.256,3.5828E+010,0.000009450000000,3145,0.95,Specific Heat: 760
SCHOTT N-SF5,8.7E+010,0.237,3.5166E+010,0.000007940000000,2858,1,Specific Heat: 770
SCHOTT N-SF6,9.3E+010,0.262,3.6846E+010,0.000009030000000,3369,0.96,Specific Heat: 690
SCHOTT N-SF6HT,9.3E+010,0.262,3.6846E+010,0.000009030000000,3369,0.96,Specific Heat: 690
SCHOTT N-SF6HTultra,9.3E+010,0.262,3.6846E+010,0.000009030000000,3369,0.96,Specific Heat: 690
SCHOTT N-SF8,8.8E+010,0.245,3.5341E+010,0.000008560000000,2904,1.03,Specific Heat: 770
SCHOTT N-SF10,8.7E+010,0.252,3.4744E+010,0.000009400000000,3050,0.96,Specific Heat: 740
SCHOTT N-SF11,9.2E+010,0.257,3.6595E+010,0.000008520000000,3224,0.95,Specific Heat: 710
SCHOTT N-SF14,8.83E+010,0.259,3.5068E+010,0.000009410000000,3118,1,Specific Heat: 750
SCHOTT N-SF15,9E+010,0.243,3.6203E+010,0.000008040000000,2921,1.04,Specific Heat: 760
SCHOTT N-SF19,8.8E+010,0.231,3.5743E+010,0.000007200000000,2900,1.02,Specific Heat: 750
SCHOTT N-SF56,9.1E+010,0.255,3.6255E+010,0.000008700000000,3280,0.94,Specific Heat: 700
SCHOTT N-SF57,9.6E+010,0.26,3.8095E+010,0.000008460000000,3533,0.99,Specific Heat: 660
SCHOTT N-SF57HT,9.6E+010,0.26,3.8095E+010,0.000008460000000,3533,0.99,Specific Heat: 660
SCHOTT N-SF57HTultra,9.6E+010,0.26,3.8095E+010,0.000008460000000,3533,0.99,Specific Heat: 660
SCHOTT N-SF64,8.8E+010,0.245,3.5341E+010,0.000008480000000,2989,0.98,Specific Heat: 750
SCHOTT N-SF66,9.49E+010,0.259,3.7689E+010,0.000005900000000,3996,0.8,Specific Heat: 540
SCHOTT N-SK2,7.8E+010,0.263,3.0879E+010,0.000006000000000,3550,0.776,Specific Heat: 595
SCHOTT N-SK2HT,7.8E+010,0.263,3.0879E+010,0.000006000000000,3550,0.776,Specific Heat: 595
SCHOTT N-SK4,8.4E+010,0.261,3.3307E+010,0.000006460000000,3535,0.83,Specific Heat: 570
SCHOTT N-SK5,8.4E+010,0.256,3.3439E+010,0.000005500000000,3300,0.99,Specific Heat: 560
SCHOTT N-SK10,8.1E+010,0.266,3.1991E+010,0.000006830000000,3639,0.77,Specific Heat: 540
SCHOTT N-SK11,7.9E+010,0.239,3.1881E+010,0.000006500000000,3080,,
SCHOTT N-SK14,8.6E+010,0.261,3.41E+010,0.000006000000000,3440,0.851,Specific Heat: 636
SCHOTT N-SK15,8.4E+010,0.265,3.3202E+010,0.000006700000000,3620,0.77,Specific Heat: 570
SCHOTT N-SK16,8.9E+010,0.264,3.5206E+010,0.000006300000000,3580,0.818,Specific Heat: 578
SCHOTT N-SSK2,8.2E+010,0.261,3.2514E+010,0.000005810000000,3525,0.81,Specific Heat: 580
SCHOTT N-SSK5,8.8E+010,0.278,3.4429E+010,0.000006800000000,3710,,Specific Heat: 574
SCHOTT N-SSK8,8.4E+010,0.251,3.3573E+010,0.000007210000000,3268,0.84,Specific Heat: 640
SCHOTT N-ZK7,7E+010,0.214,2.883E+010,0.000004500000000,2490,1.042,Specific Heat: 770
SCHOTT P-BK7,8.478E+010,0.202,3.5266E+010,0.000005990000000,2433,1.13,Specific Heat: 870
SCHOTT P-LAF37,1.1528E+011,0.296,4.4475E+010,0.000006260000000,3987,0.9,Specific Heat: 640
SCHOTT P-LAK35,1.01E+011,0.289,3.9178E+010,0.000008130000000,3848,0.72,Specific Heat: 630
SCHOTT P-LASF47,1.1956E+011,0.298,4.6055E+010,0.000006040000000,4538,0.85,Specific Heat: 550
SCHOTT P-LASF50,1.1922E+011,0.298,4.5924E+010,0.000005900000000,4541,0.95,Specific Heat: 560
SCHOTT P-LASF51,1.1904E+011,0.299,4.582E+010,0.000006010000000,4579,0.87,Specific Heat: 560
SCHOTT P-PK53,5.937E+010,0.271,2.3356E+010,0.000013300000000,2827,0.64,Specific Heat: 770
SCHOTT P-SF8,8.606E+010,0.253,3.4342E+010,0.000009410000000,2898,1.02,Specific Heat: 790
SCHOTT P-SF67,9.02E+010,0.248,3.6138E+010,0.000006230000000,4236,0.79,Specific Heat: 530
SCHOTT P-SF68,7.904E+010,0.275,3.0996E+010,0.000008430000000,6194,0.65,Specific Heat: 370
SCHOTT P-SF69,9.588E+010,0.251,3.8321E+010,0.000008990000000,2934,1.12,Specific Heat: 820
SCHOTT P-SK57,9.266E+010,0.249,3.7094E+010,0.000007230000000,3012,1.01,Specific Heat: 760
SCHOTT P-SK57Q1,9.266E+010,0.249,3.7094E+010,0.000007230000000,3012,1.01,Specific Heat: 760
SCHOTT P-SK58A,9.685E+010,0.245,3.8896E+010,0.000006820000000,2971,1.02,Specific Heat: 770
SCHOTT P-SK60,9.879E+010,0.253,3.9421E+010,0.000007060000000,3075,1.13,Specific Heat: 760
SCHOTT SF1,5.6E+010,0.232,2.2727E+010,0.000008100000000,4460,,
SCHOTT SF2,5.5E+010,0.227,2.2412E+010,0.000008400000000,3860,0.735,Specific Heat: 498
SCHOTT SF4,5.6E+010,0.241,2.2562E+010,0.000008000000000,4790,0.65,Specific Heat: 410
SCHOTT SF5,5.6E+010,0.233,2.2709E+010,0.000008200000000,4070,,
SCHOTT SF6,5.5E+010,0.244,2.2106E+010,0.000008100000000,5180,0.673,Specific Heat: 389
SCHOTT SF6G05,,0.244,,7.8e-006,5200,,
SCHOTT SF6HT,5.5E+010,0.244,2.2106E+010,0.000008100000000,5180,0.673,Specific Heat: 389
SCHOTT SF10,6.4E+010,0.232,2.5974E+010,0.000007500000000,4280,0.741,Specific Heat: 465
SCHOTT SF11,6.6E+010,0.235,2.6721E+010,0.000006100000000,4740,0.737,Specific Heat: 431
SCHOTT SF56A,5.7E+010,0.239,2.3002E+010,0.000007900000000,4920,0.69,Specific Heat: 400
SCHOTT SF57,5.4E+010,0.248,2.1635E+010,0.000008300000000,5510,0.62,Specific Heat: 360
SCHOTT SF57HT,5.4E+010,0.248,2.1635E+010,0.000008300000000,5510,0.62,Specific Heat: 360
SCHOTT SF57HTultra,5.4E+010,0.248,2.1635E+010,0.000008300000000,5510,0.62,Specific Heat: 360
SCHOTT SFL6,9.3E+010,0.26,3.6905E+010,0.000009000000000,3370,,
SCHOTT SFL57,9.7E+010,0.261,3.8462E+010,0.000008700000000,3550,0.997,Specific Heat: 670
